timesteps_total,custom_metrics/game_result/num_pass_attempts_mean,custom_metrics/game_result/num_pass_success_mean,custom_metrics/game_result/score_reward_episode_mean,custom_metrics/game_result/win_percentage_episode_mean,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms
235200,53.45,0.56,-0.19,0,0.346515949,4.278554988,0.107503519
238000,55.32,0.56,-0.16,0,0.346314875,4.282145506,0.107547334
240800,52.81,0.56,-0.17,0,0.346908299,4.285732527,0.107608488
243600,52.04,0.43,-0.2,0,0.346971153,4.28342817,0.10764022
246400,50.13,0.39,-0.2,0,0.347405865,4.267917633,0.10767741
249200,49.78,0.46,-0.18,0,0.346981306,4.275187083,0.107603534
252000,50.91,0.44,-0.17,0,0.348420683,4.290814262,0.10773928
254800,56.01,0.43,-0.17,0,0.348535154,4.292057486,0.107713402
257600,56.1,0.48,-0.15,0,0.348301717,4.290212137,0.107648183
260400,56.75,0.47,-0.15,0,0.349024075,4.280906298,0.10763033
263200,58.64,0.49,-0.15,0,0.348931968,4.277514922,0.107652268
266000,59.41,0.48,-0.13,0,0.349984779,4.285743087,0.107770579
268800,63,0.49,-0.12,0,0.349538757,4.284512177,0.107684104
271600,61.74,0.4,-0.14,0,0.349145217,4.263166175,0.107608149
274400,60.66,0.42,-0.13,0,0.348464825,4.250032729,0.107588494
277200,60.64,0.51,-0.14,0,0.349158982,4.258656784,0.107628495
280000,61.18,0.5,-0.12,0,0.348606248,4.267844685,0.107657032
282800,62.81,0.45,-0.13,0,0.348598956,4.249338186,0.107646182
285600,63.19,0.45,-0.12,0,0.349102009,4.249492657,0.107608518
288400,61.22,0.43,-0.13,0,0.347732084,4.244962225,0.107547446
291200,60.96,0.45,-0.13,0,0.347336798,4.225868674,0.107418691
294000,59.6,0.48,-0.15,0,0.34735237,4.229332205,0.107492337
296800,60,0.51,-0.18,0,0.347886754,4.232410692,0.10743916
299600,57.87,0.33,-0.22,0,0.347025543,4.230820701,0.107478152
302400,59.02,0.3,-0.23,0,0.347191804,4.222378353,0.107441221
305200,57.58,0.34,-0.24,0,0.347323848,4.237826737,0.107515671
308000,60.5,0.33,-0.25,0,0.346834783,4.225121301,0.107549316
310800,60.26,0.35,-0.23,0,0.347061564,4.220523346,0.107518569
313600,60.15,0.35,-0.23,0,0.347288457,4.217154261,0.107577258
316400,63.44,0.31,-0.2,0,0.347134822,4.218167113,0.107521779
319200,61.5,0.36,-0.19,0,0.346838087,4.216657857,0.10758484
322000,61.9,0.37,-0.15,0,0.348129325,4.222179279,0.107614831
324800,66.96,0.38,-0.13,0,0.347909381,4.213906125,0.107651861
327600,67.3,0.43,-0.15,0,0.347756841,4.204947156,0.107560096
330400,64.58,0.45,-0.15,0,0.348059763,4.204058102,0.107573238
333200,68.39,0.43,-0.15,0,0.347658771,4.205246741,0.107537619
336000,66.87,0.46,-0.16,0,0.347005656,4.199484664,0.107478795
338800,64.5,0.44,-0.18,0,0.347513461,4.203305865,0.107557533
341600,64.16,0.38,-0.18,0,0.347431615,4.217299724,0.107617401
344400,69.23,0.36,-0.17,0,0.346888872,4.200363746,0.107626011
347200,67.17,0.36,-0.19,0,0.346718784,4.195720978,0.107554998
350000,61.23,0.31,-0.21,0,0.347877232,4.196302251,0.107675852
352800,62.53,0.31,-0.22,0,0.347777984,4.187098168,0.107628996
355600,59.98,0.34,-0.21,0,0.347593667,4.180979067,0.107651394
358400,62.09,0.36,-0.24,0,0.347854095,4.17784342,0.10760831
361200,65.82,0.37,-0.22,0,0.348113735,4.182630316,0.107631373
364000,66.48,0.36,-0.22,0,0.347849853,4.185484719,0.107621408
366800,65.27,0.39,-0.25,0,0.348403181,4.18491996,0.107621755
369600,63.05,0.42,-0.24,0,0.348643948,4.189191702,0.10763292
372400,62.3,0.43,-0.22,0,0.349165768,4.192317818,0.107674467
375200,65.93,0.41,-0.22,0,0.347900786,4.192860733,0.107636919
378000,67.56,0.37,-0.23,0,0.3475097,4.188685611,0.107608645
380800,67.09,0.36,-0.21,0,0.347733648,4.189820113,0.107649425
383600,66.94,0.35,-0.2,0,0.347410932,4.186445896,0.10769212
386400,61.75,0.36,-0.18,0,0.347430265,4.175334192,0.107683971
389200,64.23,0.34,-0.18,0,0.347788436,4.178886475,0.107697383
392000,63.14,0.34,-0.15,0,0.347102481,4.171863759,0.107637733
394800,64.63,0.4,-0.15,0,0.346865683,4.171970104,0.107644749
397600,65.32,0.45,-0.15,0,0.346700398,4.174297952,0.107638123
400400,63.96,0.48,-0.15,0,0.347048304,4.168777226,0.107680383
403200,60.08,0.46,-0.16,0,0.346957737,4.167175367,0.107726584
406000,58.58,0.45,-0.13,0,0.347005298,4.163969162,0.107652839
408800,59.88,0.42,-0.14,0,0.346941039,4.16937231,0.107676335
411600,57.58,0.48,-0.14,0,0.347318241,4.160105387,0.107646723
414400,57.07,0.47,-0.13,0,0.347114512,4.154756622,0.107665592
417200,60.08,0.41,-0.13,0,0.347551113,4.159984925,0.107710489
420000,60.97,0.38,-0.12,0,0.347361238,4.159177055,0.107701188
422800,61.89,0.36,-0.11,0,0.347353929,4.164673656,0.107693273
425600,63.23,0.34,-0.12,0,0.347177931,4.163680097,0.107654407
428400,61.72,0.38,-0.14,0,0.347252847,4.164110403,0.107676498
431200,61.37,0.4,-0.16,0,0.347074258,4.167116624,0.107672904
434000,60.96,0.42,-0.16,0,0.347194448,4.161023441,0.107701039
436800,61.56,0.36,-0.16,0,0.347313347,4.162127211,0.107699387
439600,54.04,0.35,-0.15,0,0.347684027,4.16020233,0.107679728
442400,53.04,0.34,-0.13,0,0.34756234,4.150254074,0.107675198
445200,53.29,0.39,-0.14,0,0.347704606,4.159822584,0.107692919
448000,55.84,0.34,-0.13,0,0.34762287,4.149273362,0.107672296
450800,56.96,0.36,-0.14,0,0.347330158,4.142942957,0.107586089
453600,57.32,0.35,-0.12,0,0.347413082,4.143535235,0.107636715
456400,59.37,0.37,-0.12,0,0.347204458,4.150510541,0.107625216
459200,59.84,0.37,-0.15,0,0.347188421,4.145705274,0.107608193
462000,64.9,0.42,-0.15,0,0.347040532,4.14375949,0.107545546
464800,65.92,0.43,-0.18,0,0.346846098,4.147465467,0.107537072
467600,67.52,0.43,-0.21,0,0.3468908,4.145395383,0.10755842
470400,68.83,0.42,-0.22,0,0.346952556,4.144858851,0.1075726
473200,67.63,0.45,-0.23,0,0.347113736,4.146418177,0.107578456
476000,67.52,0.45,-0.23,0,0.346933689,4.148657011,0.107595146
478800,66.38,0.43,-0.23,0,0.346764427,4.156950308,0.107615976
481600,68.47,0.4,-0.19,0,0.347040445,4.148373719,0.107606879
484400,68.33,0.41,-0.2,0,0.34665183,4.148408627,0.1075701
487200,68.43,0.36,-0.22,0,0.346956131,4.145902256,0.107627313
490000,68.03,0.36,-0.23,0,0.347383584,4.145529164,0.107694745
492800,64.51,0.33,-0.2,0,0.347366541,4.148656677,0.107677502
495600,63.66,0.36,-0.17,0,0.347364001,4.153347275,0.107656607
498400,65.24,0.36,-0.18,0,0.34728589,4.149140206,0.107628725
501200,67.53,0.35,-0.18,0,0.347728192,4.146390419,0.10767784
504000,66.65,0.29,-0.16,0.01,0.347770965,4.141292317,0.107686287
