timesteps_total,custom_metrics/game_result/num_pass_attempts_mean,custom_metrics/game_result/num_pass_success_mean,custom_metrics/game_result/score_reward_episode_mean,custom_metrics/game_result/win_percentage_episode_mean,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms
235200,93.42,0.55,-0.14,0.02,0.368495422,4.518307322,0.120997491
238000,99.57,0.59,-0.13,0.02,0.367979736,4.516928604,0.121032471
240800,100.71,0.57,-0.14,0.02,0.36822596,4.514691273,0.12096029
243600,106.02,0.63,-0.13,0.01,0.367693165,4.514581347,0.121031555
246400,103.34,0.65,-0.12,0.01,0.367856934,4.513759031,0.120959018
249200,103.73,0.64,-0.12,0.01,0.36738581,4.512003646,0.120995548
252000,103.36,0.66,-0.12,0.01,0.366651698,4.512509058,0.120994936
254800,107.06,0.58,-0.13,0.01,0.36587625,4.511742638,0.121094535
257600,105.01,0.53,-0.16,0,0.36530635,4.511768453,0.121078514
260400,105.03,0.53,-0.16,0,0.365172891,4.511678853,0.121075167
263200,101.58,0.52,-0.19,0,0.364644789,4.512134779,0.121101279
266000,101.52,0.56,-0.17,0,0.364695177,4.511320239,0.121090766
268800,101.01,0.51,-0.17,0,0.364478197,4.512140109,0.121159755
271600,99.05,0.55,-0.18,0,0.364234875,4.512796804,0.121173018
274400,94.67,0.43,-0.22,0,0.364328169,4.51336645,0.121152448
277200,96.39,0.39,-0.22,0,0.364293605,4.513085536,0.121140656
280000,95.03,0.36,-0.23,0,0.364478858,4.513384328,0.121179266
282800,95.52,0.43,-0.25,0,0.364328957,4.513813333,0.121089836
285600,96.93,0.36,-0.22,0.01,0.364592782,4.513813662,0.121054263
288400,94.9,0.38,-0.25,0.01,0.364829307,4.513115119,0.121049632
291200,91.85,0.39,-0.25,0.01,0.364619717,4.513495523,0.121064649
294000,88.25,0.39,-0.23,0.01,0.364562946,4.514117951,0.121061594
296800,81.21,0.42,-0.22,0.01,0.364117855,4.514329088,0.121068167
299600,74.78,0.39,-0.21,0.01,0.364592471,4.513875301,0.120973606
302400,75.56,0.39,-0.2,0.02,0.364312216,4.514208583,0.120968912
305200,71.42,0.41,-0.18,0.02,0.364221993,4.513901196,0.121092838
308000,67.36,0.39,-0.16,0.02,0.364356622,4.513994835,0.121142739
310800,59.19,0.35,-0.15,0.01,0.36459052,4.514015678,0.121098368
313600,55.7,0.33,-0.12,0.01,0.364649463,4.514259378,0.121006713
316400,53.98,0.34,-0.11,0.01,0.364870107,4.514007984,0.12099895
319200,52.82,0.3,-0.1,0.01,0.364552419,4.513347716,0.120976219
322000,47.92,0.26,-0.12,0.03,0.365202334,4.513684021,0.121112397
324800,39.36,0.23,-0.09,0.02,0.365434441,4.513261707,0.120977434
327600,40.1,0.21,-0.1,0.02,0.365675359,4.514282713,0.120960558
330400,39.18,0.22,-0.1,0.03,0.365944685,4.514279933,0.120922641
333200,40.63,0.22,-0.11,0.03,0.365949755,4.514888741,0.120940293
