timesteps_total,custom_metrics/game_result/num_pass_attempts_mean,custom_metrics/game_result/num_pass_success_mean,custom_metrics/game_result/score_reward_episode_mean,custom_metrics/game_result/win_percentage_episode_mean,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms
229600,57.21,0.33,-0.13,0,0.346091603,3.862905975,0.106395443
232400,55.78,0.37,-0.13,0,0.346481482,3.863344424,0.106254287
235200,56.06,0.36,-0.14,0,0.34680121,3.862477613,0.106290126
238000,56.35,0.34,-0.13,0.01,0.346767877,3.860357713,0.106201548
240800,59.24,0.31,-0.13,0.01,0.346067148,3.8601547,0.106265892
243600,58.72,0.29,-0.15,0.01,0.346133308,3.860069082,0.106245772
246400,56.13,0.26,-0.12,0.02,0.345526261,3.85831397,0.106298208
249200,53.42,0.23,-0.11,0.02,0.345614426,3.858101684,0.106242204
252000,48.03,0.22,-0.11,0.02,0.345302162,3.857639977,0.106267049
254800,46.39,0.18,-0.08,0.03,0.34510967,3.856547974,0.106324573
257600,45.42,0.23,-0.11,0.03,0.345006369,3.857188383,0.106301917
260400,43.8,0.27,-0.12,0.02,0.34467376,3.858345574,0.106337184
263200,42.56,0.29,-0.11,0.02,0.344429605,3.857075921,0.106296322
266000,44.01,0.32,-0.13,0.01,0.344604588,3.856895178,0.10628089
268800,44.09,0.33,-0.12,0.02,0.345074783,3.855050323,0.106214434
271600,44.66,0.3,-0.13,0.02,0.345760377,3.855514927,0.106252368
274400,45.55,0.34,-0.1,0.02,0.345840643,3.854336253,0.106248575
277200,47.44,0.35,-0.1,0.01,0.345839977,3.855779477,0.106162684
280000,49.2,0.31,-0.06,0.02,0.346149895,3.855463611,0.106202987
282800,49.09,0.33,-0.08,0.02,0.346443407,3.855081754,0.106242155
285600,51.01,0.33,-0.04,0.03,0.346798181,3.855575625,0.106146251
288400,50.92,0.33,-0.02,0.03,0.3469002,3.853887333,0.106167868
291200,53.07,0.35,-0.03,0.02,0.346706408,3.853656533,0.106135546
294000,51.1,0.34,-0.05,0.02,0.346553167,3.852757948,0.106084614
296800,51.16,0.28,-0.1,0.02,0.346987586,3.853623869,0.106010816
299600,50.02,0.29,-0.11,0.02,0.346576687,3.8512456,0.10599437
302400,49.45,0.29,-0.14,0.01,0.34632548,3.851674239,0.1060327
305200,52.13,0.26,-0.13,0.01,0.346400628,3.851276229,0.105998911
308000,50.27,0.23,-0.14,0,0.34658374,3.85043325,0.10596553
310800,52.02,0.23,-0.14,0,0.346675495,3.850967733,0.105986059
313600,54.02,0.25,-0.17,0,0.346972379,3.851695352,0.106075405
316400,53.32,0.25,-0.14,0.01,0.347019183,3.852643256,0.106033133
319200,56.24,0.28,-0.14,0.01,0.346765603,3.851142988,0.106065886
322000,59.13,0.27,-0.11,0.01,0.346929807,3.852042523,0.106067173
324800,61.63,0.28,-0.12,0.02,0.346220867,3.851369245,0.10609346
327600,61.09,0.26,-0.1,0.02,0.346448927,3.850078959,0.106064113
330400,59.94,0.25,-0.1,0.02,0.346656771,3.850541763,0.105997974
333200,57.32,0.26,-0.12,0.02,0.346118145,3.851128401,0.106045461
336000,57.58,0.25,-0.11,0.02,0.346003398,3.851920109,0.106036614
338800,55.27,0.27,-0.09,0.01,0.345624581,3.851039639,0.106026143
341600,52.79,0.27,-0.1,0.01,0.345586831,3.85070287,0.106000697
